EVT EQUIP-ID,EVENT-ID,WCE,DDR,WCE NARRATIVE,CORRECTIVE ACTION
A1234,L494287668,1,1,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est
C1234,L671804960,2,2,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed
A1234,L188081074,2,1,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum
A1234,L576240390,3,2,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id
D1234,L857689211,3,2,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,est risus auctor sed tristique in tempus sit amet sem fusce
C1234,L855664152,3,2,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus
A1234,L776042142,3,1,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec
B1234,L866303805,3,2,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis
B1234,L357382021,2,1,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu
D1234,L798201573,3,1,eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum
A1234,L122156389,3,2,volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et
A1234,L594968383,1,2,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem
D1234,L502484499,1,2,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices
D1234,L183488892,3,2,morbi a ipsum integer a nibh in quis justo maecenas,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
D1234,L599874580,2,2,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in
C1234,L386836663,2,2,morbi non quam nec dui luctus rutrum nulla tellus in,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum
A1234,L067752767,3,2,consequat nulla nisl nunc nisl duis bibendum felis sed interdum,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra
B1234,L252492604,1,1,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget
B1234,L363986067,2,2,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
D1234,L304336058,3,1,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
C1234,L064365285,1,2,leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu
B1234,L748316524,3,2,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,aliquam sit amet diam in magna bibendum imperdiet nullam orci
C1234,L810264404,1,2,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra
B1234,L090788398,1,2,in est risus auctor sed tristique in tempus sit amet sem fusce,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque
C1234,L389537910,3,1,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit
D1234,L554984027,2,2,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem
B1234,L077057187,3,1,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum
A1234,L986364046,3,2,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl
C1234,L108448530,3,1,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed
C1234,L771752003,3,2,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel
D1234,L903993571,2,2,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
A1234,L138702093,3,1,lobortis ligula sit amet eleifend pede libero quis orci nullam,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed
D1234,L224425596,1,1,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue
C1234,L884337662,2,1,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,quisque porta volutpat erat quisque erat eros viverra eget congue eget
A1234,L248325653,1,1,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla
D1234,L676353365,1,2,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales
A1234,L188141402,3,2,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
D1234,L752273800,2,1,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim
C1234,L967540663,2,1,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis
D1234,L677117271,1,2,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,massa id nisl venenatis lacinia aenean sit amet justo morbi ut
C1234,L623937628,1,2,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam
A1234,L849417770,3,2,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
D1234,L285123423,1,2,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque
D1234,L854941670,2,2,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula
D1234,L926000752,1,2,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi
A1234,L699425354,3,1,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget
B1234,L799518675,2,1,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at
D1234,L512869546,2,1,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi
B1234,L776446025,2,2,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer
B1234,L465941477,1,1,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis
D1234,L321978531,3,2,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
B1234,L901914470,2,1,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus
D1234,L572729722,1,2,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel
A1234,L882647088,3,1,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices
D1234,L799547434,1,1,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
C1234,L386959400,2,2,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est
B1234,L498790991,1,1,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum
C1234,L651161186,2,2,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla
C1234,L798508805,1,2,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis
D1234,L932953996,1,2,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc
A1234,L659260978,2,2,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,felis ut at dolor quis odio consequat varius integer ac leo pellentesque
B1234,L768930067,1,2,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien
A1234,L592878617,2,2,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum
B1234,L610654643,2,2,arcu sed augue aliquam erat volutpat in congue etiam justo,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
A1234,L577409193,3,1,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur
A1234,L544322592,3,2,consequat in consequat ut nulla sed accumsan felis ut at dolor,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla
B1234,L277274805,3,2,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo
D1234,L559761855,1,1,eget massa tempor convallis nulla neque libero convallis eget eleifend,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget
B1234,L508508623,3,1,felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl
C1234,L661841909,3,2,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec
B1234,L822750005,2,2,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede
C1234,L861462885,2,2,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales
C1234,L012234158,2,2,justo morbi ut odio cras mi pede malesuada in imperdiet,quisque erat eros viverra eget congue eget semper rutrum nulla
C1234,L495360055,1,2,mauris lacinia sapien quis libero nullam sit amet turpis elementum,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque
B1234,L712494611,3,1,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent
A1234,L408265318,1,1,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras
A1234,L229485982,1,2,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut
A1234,L611564697,1,1,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum
C1234,L907741303,1,1,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae
C1234,L432240881,2,2,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
B1234,L217272099,2,2,in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus
B1234,L130967161,3,2,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at
D1234,L786898358,3,2,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut
D1234,L414564077,3,2,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam
B1234,L352621925,3,2,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi
C1234,L643745932,1,2,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam
C1234,L584474433,1,1,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at
D1234,L714256170,1,2,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis
A1234,L109441160,2,1,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia
D1234,L071824137,2,2,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus
C1234,L934911336,2,1,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna
A1234,L079539286,1,2,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean
A1234,L677302920,2,1,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus
C1234,L293616374,1,1,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra
D1234,L639693627,1,2,in hac habitasse platea dictumst maecenas ut massa quis augue luctus,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non
A1234,L955679846,1,1,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in
A1234,L014352073,1,2,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem
A1234,L681131496,2,1,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea
D1234,L202059705,3,1,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna
A1234,L113900925,1,2,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis
A1234,L002760240,1,2,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus
B1234,L875500614,2,1,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus
C1234,L792938230,2,1,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
D1234,L733360406,2,1,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien
D1234,L191708468,2,2,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut
A1234,L011016139,1,1,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet
D1234,L065123183,3,2,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
C1234,L647252809,2,2,mi sit amet lobortis sapien sapien non mi integer ac neque,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla
A1234,L540383936,2,1,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in
D1234,L164457898,2,1,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis
D1234,L953706269,3,2,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet
A1234,L239145386,3,2,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis
C1234,L890095036,2,1,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non
A1234,L246100105,3,2,dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc
D1234,L845295275,3,1,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit
A1234,L632024575,3,2,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce
C1234,L509314331,1,1,et tempus semper est quam pharetra magna ac consequat metus sapien,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean
D1234,L159789684,3,2,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
D1234,L311191308,2,1,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,ipsum aliquam non mauris morbi non lectus aliquam sit amet
C1234,L938643672,1,1,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor
A1234,L079910236,2,2,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante
B1234,L111530237,1,1,nonummy integer non velit donec diam neque vestibulum eget vulputate,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi
C1234,L975549402,3,1,ut at dolor quis odio consequat varius integer ac leo pellentesque,ac lobortis vel dapibus at diam nam tristique tortor eu pede
B1234,L016512770,2,2,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,duis mattis egestas metus aenean fermentum donec ut mauris eget
B1234,L753812963,1,2,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in
D1234,L856321363,2,2,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo
A1234,L580503533,1,2,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis
A1234,L710923130,1,2,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean
D1234,L099482251,2,1,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non
C1234,L642206788,1,2,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in
C1234,L926354266,3,1,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante
C1234,L008061578,2,2,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien
D1234,L164404863,2,1,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae
D1234,L521155447,3,1,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi
B1234,L308308689,2,1,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in
B1234,L191168652,2,1,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
A1234,L504113542,2,1,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,proin at turpis a pede posuere nonummy integer non velit donec
C1234,L242777241,1,2,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque
C1234,L122369615,3,1,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at
D1234,L207747333,3,2,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
B1234,L989158786,1,2,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra
A1234,L506552274,3,2,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac
B1234,L625142198,1,2,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis
C1234,L883924721,3,2,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id
D1234,L388867867,1,1,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est
